x,y
-513.2411909103394,45.537078857421875
-509.6555595397949,44.6134033203125
-508.32530403137207,41.36225128173834
-511.54333114624023,39.59370422363281
-515.2901668548584,39.94277191162115
-518.4174709320068,41.99943542480469
-519.3805770874023,45.5613632202149
-518.5683927536011,49.26311492919916
-517.0025148391724,52.71119689941406
-514.6522359848022,55.67860412597656
-511.6499071121216,57.98619079589844
-508.22061347961426,59.598480224609375
-504.5615425109863,60.59237670898443
-500.79945182800293,61.07618713378906
-497.00620460510254,61.14604187011719
-493.2215347290039,60.8752059936524
-489.46803283691406,60.31801605224615
-485.7595520019531,59.5132675170899
-482.10547637939453,58.489044189453125
-478.51322746276855,57.2652587890625
-474.98959732055664,55.855964660644474
-471.5416069030762,54.2705459594726
-468.1772041320801,52.514656066894474
-464.9060935974121,50.59062957763666
-461.73998260498047,48.49839782714844
-458.7018280029297,46.224845886230526
-455.82580184936523,43.74909973144531
-453.08501052856445,41.12407684326166
-450.4544143676758,38.388458251953125
-447.91565704345703,35.567306518554744
-445.4544448852539,32.67817687988281
-443.0605010986328,29.733039855956974
-440.72535705566406,26.741050720214844
-438.4422149658203,23.7091903686524
-436.2054786682129,20.642906188964844
-434.01099395751953,17.54624938964838
-431.8548583984375,14.422744750976506
-429.7340850830078,11.275138854980497
-427.64576721191406,8.105903625488281
-425.5878791809082,4.916801452636719
-423.55853271484375,1.7094802856445028
-421.55609130859375,-1.5147094726562784
-419.5791473388672,-4.754600524902344
-417.6265449523926,-8.009231567382784
-415.697265625,-11.277732849121094
-413.7904853820801,-14.559417724609375
-411.905574798584,-17.853736877441435
-410.04200744628906,-21.160118103027344
-408.1993942260742,-24.47826385498047
-406.3775177001953,-27.807830810546875
-404.57628631591797,-31.148624420166016
-402.79580307006836,-34.500484466552734
-401.03652572631836,-37.863582611083984
-399.29893493652344,-41.23789596557617
-397.58353424072266,-44.62355041503909
-395.8917999267578,-48.021095275878906
-394.2251853942871,-51.43102264404294
-392.58629989624023,-54.85438537597656
-390.97822189331055,-58.29230499267578
-389.4059295654297,-61.7467041015625
-387.8775825500488,-65.22078704833984
-386.4061698913574,-68.71930313110352
-386.8124809265137,-67.0597152709961
-388.1346969604492,-63.50258255004883
-389.637752532959,-60.017845153808594
-391.2966766357422,-56.6044845581055
-393.0976448059082,-53.26387405395508
-395.03178787231445,-49.99850845336914
-397.0923080444336,-46.81138610839844
-399.27366638183594,-43.70573425292969
-401.5709533691406,-40.684791564941435
-403.9796600341797,-37.75191116333008
-406.4950714111328,-34.9100456237793
-409.112850189209,-32.16213607788083
-411.82841873168945,-29.510848999023466
-414.6371421813965,-26.958450317382784
-417.5345344543457,-24.507171630859375
-420.51570892333984,-22.158432006835938
-423.57569885253906,-19.91339874267578
-426.7098693847656,-17.77307891845703
-429.91334533691406,-15.737953186035156
-433.1812057495117,-13.807929992675781
-436.5089302062988,-11.983009338378906
-439.8914604187012,-10.261817932128906
-443.3622360229492,-8.734077453613281
-446.97083282470703,-7.559364318847628
-450.63215255737305,-6.560707092285156
-454.3387222290039,-5.746368408203097
-458.086462020874,-5.150611877441435
-461.8673725128174,-4.832328796386719
-465.6602592468262,-4.88861083984375
-469.4047317504883,-5.479240417480469
-472.93289375305176,-6.8485260009765625
-475.85559463500977,-9.236885070800781
-477.6990032196045,-12.530265808105497
-478.4223442077637,-16.24481201171875
-478.3351230621338,-20.0345458984375
-477.7165355682373,-23.777130126953097
-476.74070930480957,-27.44386291503909
-475.5122890472412,-31.034378051757812
-474.0965518951416,-34.55550765991211
-472.5360870361328,-38.015090942382784
-470.81803131103516,-41.3979415893555
-468.7539863586426,-44.581756591796875
-466.4880790710449,-47.62602233886719
-464.0869541168213,-50.5650825500488
-461.5780544281006,-53.41276168823239
-458.9761428833008,-56.175743103027344
-456.2903289794922,-58.8572883605957
-453.52666091918945,-61.45853042602539
-450.6897850036621,-63.97970962524414
-447.7829055786133,-66.419921875
-444.80902099609375,-68.77789688110352
-441.77021408081055,-71.05168914794922
-438.66877365112305,-73.23917007446286
-435.50656509399414,-75.3379707336426
-432.2856025695801,-77.3453330993652
-429.0076141357422,-79.25824737548828
-425.67483139038086,-81.0739326477051
-422.28921127319336,-82.78919601440427
-418.85315704345703,-84.4008560180664
-415.3691864013672,-85.90620040893558
-411.8398628234863,-87.30177307128906
-408.26816177368164,-88.58526229858401
-404.6570930480957,-89.75316619873047
-401.0100555419922,-90.8034706115723
-397.3306427001953,-91.73420715332031
-393.62255096435547,-92.54280090332031
-389.88795471191406,-93.21786499023438
-386.12635040283203,-93.7217025756836
-382.3505554199219,-94.10629272460938
-378.5653076171875,-94.38202667236328
-374.77373123168945,-94.54983139038089
-370.9788589477539,-94.60429382324219
-367.1841354370117,-94.53823852539062
-363.39404678344727,-94.34183502197266
-359.61407470703125,-94.00225448608401
-355.8518295288086,-93.50389862060547
-352.1175079345703,-92.82795333862308
-348.42520904541016,-91.9515419006348
-344.7943420410156,-90.8484115600586
-341.25189208984375,-89.4886474609375
-337.8345031738281,-87.84018325805661
-334.59124755859375,-85.8720283508301
-331.5836715698242,-83.56045913696286
-328.8824996948242,-80.89793395996094
-326.5579299926758,-77.9013442993164
-324.6640930175781,-74.61563110351562
-323.22554779052734,-71.10627746582031
-322.23492431640625,-67.44476318359375
-321.8949661254883,-63.67367172241211
-321.9821472167969,-59.879989624023466
-322.31219482421875,-56.09955978393555
-322.8702087402344,-52.34592056274414
-323.65399169921875,-48.63294219970703
-324.6653518676758,-44.97537612915039
-325.9075393676758,-41.38970184326172
-327.3832778930664,-37.89369201660159
-329.0937805175781,-34.5064811706543
-331.03746795654297,-31.247432708740263
-333.2089614868164,-28.13561248779294
-335.5999755859375,-25.189056396484375
-338.1976013183594,-22.422927856445312
-340.9859085083008,-19.84906005859375
-343.9467010498047,-17.475624084472656
-347.0602264404297,-15.306282043457031
-350.3066177368164,-13.34123992919919
-353.66646575927734,-11.576950073242188
-357.12157440185547,-10.007461547851591
-360.5799789428711,-8.607986450195312
-364.17745208740234,-7.3993988037109375
-367.82047271728516,-6.335441589355497
-371.50199127197266,-5.413711547851591
-375.2221794128418,-4.663917541503906
-378.9812774658203,-4.1463470458984375
-382.7709083557129,-3.9807281494140625
-386.5300521850586,-4.440254211425781
-389.8305969238281,-6.210975646972656
-390.1379623413086,-9.446197509765597
-386.89382553100586,-11.384506225585938
-383.2940979003906,-12.574256896972656
-379.55862045288086,-13.230003356933594
-375.7696189880371,-13.405166625976562
-371.98688888549805,-13.123321533203097
-368.26215744018555,-12.404884338378906
-364.6405372619629,-11.275924682617188
-361.23818588256836,-9.658920288085938
-358.8814926147461,-6.68897247314456
-356.9610595703125,-3.4183197021484375
-355.47735595703125,0.07219696044921875
-354.45679473876953,3.7250595092773438
-353.91732025146484,7.479248046875
-353.85948181152344,11.271751403808565
-354.2617645263672,15.043609619140625
-355.08480072021484,18.74689483642578
-356.27970123291016,22.347732543945312
-357.7948760986328,25.826370239257812
-359.58203125,29.1737442016601
-361.59821701049805,32.38857269287115
-363.8071098327637,35.474357604980526
-366.17845153808594,38.437301635742244
-368.68736267089844,41.28484344482416
-371.3135986328125,44.02455902099615
-374.04019927978516,46.66450500488281
-376.85345458984375,49.212028503418026
-379.8041305541992,51.59665679931646
-382.9748649597168,53.68037414550781
-386.3157730102539,55.47901916503906
-389.7873725891113,57.01081085205084
-393.3602180480957,58.2891845703125
-397.01185607910156,59.3213272094726
-400.7243194580078,60.10723876953125
-404.4816436767578,60.63767242431646
-408.2676239013672,60.89141082763666
-412.06130599975586,60.82862854003906
-415.82780838012695,60.37889862060541
-419.4944038391113,59.415374755859375
-422.87256240844727,57.710205078125
-425.4308891296387,54.95110321044916
-426.2846870422363,51.30055236816406
-424.7416229248047,47.93553161621094
-421.5111389160156,45.99021911621094
-417.87310791015625,44.922187805175724
-414.1353874206543,44.26861572265625
-410.3653259277344,43.83332824707031
-406.5831108093262,43.5184326171875
-402.79586029052734,43.2677841186524
-399.0070991516113,43.04432678222656
-395.21820068359375,42.820686340331974
-391.4307670593262,42.57429504394531
-387.64641189575195,42.28517150878906
-383.8673095703125,41.93424987792969
-380.0965270996094,41.503242492675724
-376.3387336730957,40.97084045410156
-372.60064697265625,40.31513977050781
-368.8917999267578,39.51029968261719
-365.2263717651367,38.52757263183594
-361.62421798706055,37.33351898193365
-358.1146011352539,35.89117431640625
-354.7382507324219,34.16046142578125
-351.46036529541016,32.25886535644531
-348.12450408935547,30.450881958007812
-344.93524169921875,28.39458465576172
-341.8811798095703,26.14211273193365
-338.94989013671875,23.731735229492244
-336.13006591796875,21.191604614257812
-333.41197967529297,18.542984008789062
-330.78711700439453,15.801826477050838
-328.2486343383789,12.980331420898409
-325.7913360595703,10.08795166015625
-323.41121673583984,7.131622314453125
-321.1061248779297,4.116607666015625
-318.8755798339844,1.0457229614257812
-316.72239685058594,-2.0796356201171875
-314.6541290283203,-5.261825561523466
-312.68995666503906,-8.5091552734375
-310.9054794311523,-11.857650756835938
-309.6334228515625,-15.426216125488281
-309.6409759521484,-19.173377990722656
-312.5600662231445,-21.139678955078153
-315.9361877441406,-19.578956604003906
-318.00331115722656,-16.43627166748047
-318.62339782714844,-12.7176513671875
-317.5004348754883,-9.132354736328153
-314.937141418457,-6.361991882324219
-311.6997680664062,-4.39349365234375
-308.1938018798828,-2.945426940917997
-304.5690231323242,-1.8228988647460938
-300.8851470947266,-0.9104843139648153
-297.1699829101562,-0.13489532470703125
-293.437744140625,0.554473876953125
-289.69719696044916,1.1971969604492188
-285.9546813964844,1.829620361328125
-282.2165145874023,2.4858016967773438
-278.4909362792969,3.2101440429687784
-278.8780212402344,5.4573516845703125
-281.741584777832,7.947837829589844
-284.66172790527344,10.37213134765625
-287.59141540527344,12.785072326660128
-290.5158157348632,15.204513549804744
-293.42577362060547,17.641143798828125
-296.31508636474615,20.102218627929744
-299.1767959594726,22.59526824951172
-302.0046081542969,25.126998901367244
-304.79030609130865,27.70464324951172
-307.52407073974615,30.337379455566406
-310.192512512207,33.03614807128906
-312.7765426635742,35.815963745117244
-315.2476196289062,38.69628143310541
